,tweet
60,"RT @DragonflyJonez: That thread of women discussing their exes w/terrible hygiene is one of those scenarios where no one wins. ""My ex's dic…"
61,"@Jonj84123012 @buck25583755 @RebeccaJClark @teamtrace I looked it up. Way more interesting topic than it sounds in headlines. Botswana banned it in 2014. Then reversed that in 2019 in large part to protect rural villages which lose ppl to elephants too often.
WSJ published this by Botswanan President
https://t.co/zDERuOev89"
62,Warzone is straight up in the toilet now
63,@TheSnowDreamer @mikarantane yeah amazing but this is linked to the extreme drought. highest negative anomalies are concentred in the minumum temperatures
64,RT @baddest_melanin: Lord I am askin you to remove tht little bit of anger in me that won’t let go of certain hurt that was meant to keep m…
65,"@nowornether And also making sure to do things like drink water, open a window or get fresh air, eat a fresh fruit or veggie. Just stuff to reset and remind yourself you can appreciate little wins."
66,We should be grateful for the blessings we have. The clean air the water the food all of it is not promised tomorrow. So be grateful for it today.
67,"RT @TBHer_: The thing about oloni’s hygiene thread yh.... the things these detty men are carrying, their immune systems will be accustom to…"
68,Women get upset that men use 3 in 1 body wash because they can’t comprehend that we can contently rub poison over every part of our bodies and feel good about ourselves
69,I need to wash and braid my hair but my armpit hurts too much😩
70,RT @baddest_melanin: Lord I am askin you to remove tht little bit of anger in me that won’t let go of certain hurt that was meant to keep m…
71,RT @unknownvegan_: Me trying to pick the toilet paper out her coochie without her knowing so she doesn’t get embarrassed... https://t.co/pq…
72,@LtGovTX @SenatorBirdwell Texas hates clean water (Cruz voted against the Water infrasteucture bill) and clean air (this monstrosity that celebrates our contribution to carcinogens and toxins in the air and water). TX legacy is a shame. The GQP has one foot in the grave and the other in the 1950's
73,"RT @jigsaw_quotes: Your wife is in a safe location, Jorgen, but she won’t be safe for long, for if you fail to complete this trial she will…"
74,"The air was fresh, and there was a thin fog coating the surface of the water that had rolled down from the mountains in the storms. Everything felt fragile, like it had been shaken up and was only just settling, starting afresh. It was nice, it was peaceful."
75,RT @Karnythia: McDonald's dumped the play places because  of liability and hygiene &amp; a distinct lack of use by kids since indoor playground…
76,"RT @Letter_to_Jack: That viral photo of the Amputee lafy  hawking sachet water in Lagos was staged. 

The story she told about losing her p…"
77,"RT @DragonflyJonez: That thread of women discussing their exes w/terrible hygiene is one of those scenarios where no one wins. ""My ex's dic…"
78,RT @baddest_melanin: Lord I am askin you to remove tht little bit of anger in me that won’t let go of certain hurt that was meant to keep m…
79,"Lakers have had trouble getting stops all game, so when they hit their standard 5+ minute scoring drought, it’s a massive problem. Wizards primarily working to get LAL bigs switched onto guards and then go to work, will see what Vogel does at halftime to address it"
80,River/Lee gets on my nerves #TheCircle
81,RT @kevxiing: bring back the first lockdown where the pollution was minimal around LA
82,"Dear men, please do better 😭😭"
83,"adding to my dwarven jawbone shield blueprint's second book:(combat) defense: Non-scrambling/destroying/sacrificing post: me:Love(Ruler's Defense, Noble's Defense) develops/gains/keeps party/flight bulks from eldar, so servant of my river stixx dedication is gained/kept(party)."
84,"RT @Oloni: Ladies.. let’s have some blah blah. You know how it goes. 

I wanna know about the worst hygiene you have ever experienced with…"
85,"@ASPI_org @austdef @michael_ASPI So you're just ok to excuse clumsy, amateurish responses to the country's biggest trading partner, to whom the LNP gleefully sold this country's natural resources, agriculture and water. China has no need to invade what it already owns. Wake up."
86,RT @afirahs: Angell Conwell in The Wash (2001) https://t.co/8wbuqTKK7B
87,THE WAY THEY'RE ROOTING FOR EACH OTHER STOPPPP
88,"""That isn't the right door, the toilet is the other way"" #MadWed"
89,"RT @KWaldersee: Molecule Man, a 30-metre high metal sculpture by Jonathan Borofsky on the river Spree in Berlin. https://t.co/GB0e0BShVd"
90,"RT @drunkvegans: ""A grain-fed cow will require three acres of land, while a grass-fed cow requires nine acres. Ultimately, a grass-fed cow…"
91,"RT @DragonflyJonez: That thread of women discussing their exes w/terrible hygiene is one of those scenarios where no one wins. ""My ex's dic…"
92,RT @palma_edyta: @MortyAUS how many in India die daily prior to Covid? *pollution 1.7 million died in 2019 thats nearly 20% of the entire p…
93,That's another reason why I want it's just everyone in able to know about me at 24 years old but they're going to be able to tell you whether or not someone is even capable of doing that now it's going to be honestly... Because they have seen it before
94,"Moe, its not like these women are confessing one night stands lmao. Literally talking about a ex. Nasty"
95,If you ain’t flushing the toilet when you piss I know for a fact you ain’t washing yo hands TRIFLING ASS
96,"RT @nandtara: Too little too late, you electoral vulture. 1000 Ganga स्नान won’t wash the sin of these deaths. The #IndiaChoked carnage is…"
97,"RT @aaronklemz: Can we all just stop for a second and note that EVERYBODY, including PolyMet, the DNR and the MN Supreme Court agrees that…"
98,RT @TXAG: Today I toured with @TxDPS and @MariaBartiromo to take a first-hand look at how easy it can be to cross the Rio Grande River with…
99,Boy this shit nasty af. Ngl a lotta these niggas still hit so it doesn’t look like they gotta deal w/ the repercussions of being a dirty nigga
100,RT @baddest_melanin: Lord I am askin you to remove tht little bit of anger in me that won’t let go of certain hurt that was meant to keep m…
101,Cry me a River. Thought daddy was paying for it. Hoe hum
102,RT @afirahs: Angell Conwell in The Wash (2001) https://t.co/8wbuqTKK7B
103,RT @baddest_melanin: Lord I am askin you to remove tht little bit of anger in me that won’t let go of certain hurt that was meant to keep m…
104,"You could listen to us process ideas about racial justice for an hour, if that’s something that seems like it might be fun for you. I don’t know what you’re into."
105,ABOUT TIME ! What took so long ?
106,RT @adorekem: No amount of horny can ever make me overlook someone’s personal hygiene please. Babe said he had an overwhelming amount of pl…
107,RT @ObsKenobs: Star Wars is unrealistic because if a person survived being set on fire by a lava river they’d never stop bringing it up in…
108,"RT @rabia_brown: What’s crazy is that Flint isn’t the only city without clean water. There are other cities, with a majority Black populati…"
109,"RT @DragonflyJonez: That thread of women discussing their exes w/terrible hygiene is one of those scenarios where no one wins. ""My ex's dic…"
110,"RT @AndrewPollackFL: Do you remember the panic when you couldn’t find toilet paper?

Imagine the panic when you can’t find a police officer."
111,Let’s all pray the rivers flood I’m tryna go fishing
112,@toorulover69 grande river https://t.co/Bxqlo6InSL
113,"RT @DragonflyJonez: That thread of women discussing their exes w/terrible hygiene is one of those scenarios where no one wins. ""My ex's dic…"
114,RT @rachellerfav: @heatherpeno Advance flood knowledge? https://t.co/Bj4q8tdIRU
115,"The Gin Gin dam on the Macquarie River would cost over $86 million dollars. 

The govt want to build it is so irrigation can take 14,500 ML a yr out of the river for the cotton industry. 

That is EXPENSIVE water

@DugaldSaunders show us the business case."
116,@Mattmadrid78 @AlanBarrierEA The Ouse in York isn’t tidal and flooding issues there are a completely different kettle of fish. Mostly due to precipitation in the river catchment. York has a myriad of flood defences in its own right but has largely learnt to cope with flooding with little affect on the city
117,"imagine the future that awaits: Catastrophic fires and devastating floods. Widespread food and water shortages. Destruction of habitats and extinctions of species at a rate not seen in millions of years. “Do you really want your kids to see that?”

Think climate!"
118,RT @andiswx: Having a nice water bottle makes water drinking fun
119,"The govt were very clear about the reason they want to build the dam in the application to the Snowy Hydro Legacy Fund. 

It's so the irrigation industry, which is mainly cotton, can wring more water out of the river with climate change coming."
120,"RT @SenSchumer: TODAY: We are reversing a Trump-era decision to roll back limits on methane pollution from oil and gas production.

The Sen…"
121,"&gt;""I'mma make ice cream in the toilet!""

&gt;Dumps ice cream in toilet

&gt;""Lifehack!"""
122,"RT @Lyka_x_Thai: Happy Thai new year 
Lets splash water and not only water😈💦💦💦
https://t.co/dD5HmDqhBP

🔥🔥🔥 30 DAYS FREE ACCESS 🔥🔥🔥
visit m…"
123,"indeed, keep those questionable life choices to yourself"
124,"That means the Gin Gin dam would be a MASSIVE public subsidy for the export cotton industry that would also wreck: 

* rec fishing
* tourism
* Mac Marshes
* a local favourite camp sites
* d/s unregulated irrigation 
* water for Warren, Carinda etc 
* water for the Darling-Baaka"
125,"RT @DragonflyJonez: That thread of women discussing their exes w/terrible hygiene is one of those scenarios where no one wins. ""My ex's dic…"
126,"RT @DragonflyJonez: That thread of women discussing their exes w/terrible hygiene is one of those scenarios where no one wins. ""My ex's dic…"
127,"RT @barronjohn1946: WHOOPS, accidentally dropped my phone in the toilet for an hour, and when I tried to dry it off it somehow got smashed…"
128,"RT @davidhogg111: Unlike the NRA, we don't use your money to go kill endangered elephants. 

Consider donating today as a FUCK YOU to the N…"
129,"RT @HonorTheEarth: Over 13,000 people have went to https://t.co/RmtCRsHsTC to take action and ask @POTUS to #StopLine3. 

Will you join us…"
130,"RT @DragonflyJonez: That thread of women discussing their exes w/terrible hygiene is one of those scenarios where no one wins. ""My ex's dic…"
131,"@noam_ramati @frvnkmcnally @MadTr8r @thriveeachday @Tesla When ppl see a currency that doesn’t drop 3% a year on value but goes up 200% and they see the wealth they can create when the middlemen get erased, money will flood out of the banks and current financial systems and into defi and crypto."
132,"@buywatersaver THis is the best solution to water crisis a simple invention that can be used by any family around the world to make safe, clean and cool drinking water out of thin air…even in the desert. check here https://t.co/KjAUMnIwFc https://t.co/c2HyOcNthy"
133,"RT @MoniqueK___: Y’all date men who don’t have good hygiene, tell the TL and get mad when people ask questions......🙁"
134,Q asco river
135,@eirralimadiv river
136,RT @baddest_melanin: Lord I am askin you to remove tht little bit of anger in me that won’t let go of certain hurt that was meant to keep m…
137,"My son’s classmate, and granddaughter of Dave Morrell, has organized a campaign to raise awareness about the clean water crisis in Indigenous communities in Canada. Please wear #PurpleShirtsForCleanWater on May 25th 💜 Help them raise $1000! Donate here: https://t.co/KvPGB3OuOZ"
138,@mass_ave Down here in Southern Indiana it won’t be long before every crossing of the Ohio River costs dearly. It sucks.
