,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_logisticregression__solver,param_logisticregression__max_iter,param_logisticregression__C,param_columntransformer__tfidfvectorizer__ngram_range,param_columntransformer__tfidfvectorizer__min_df,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,5.618580102920532,0.09310071815269773,0.5938031673431396,0.018230426601467866,saga,12000,0.8,"(3, 3)",0.0006000000000000001,"{'logisticregression__solver': 'saga', 'logisticregression__max_iter': 12000, 'logisticregression__C': 0.8, 'columntransformer__tfidfvectorizer__ngram_range': (3, 3), 'columntransformer__tfidfvectorizer__min_df': 0.0006000000000000001}",0.21508072676081122,0.21085741938322114,0.2157941047074351,0.21517817861856578,0.21055873295204575,0.21349383248441578,0.002289628395576296,9
1,13.054611349105835,0.17101313969861853,1.3687116146087646,0.017087965651860854,saga,17000,0.1,"(1, 3)",0.0009000000000000001,"{'logisticregression__solver': 'saga', 'logisticregression__max_iter': 17000, 'logisticregression__C': 0.1, 'columntransformer__tfidfvectorizer__ngram_range': (1, 3), 'columntransformer__tfidfvectorizer__min_df': 0.0009000000000000001}",0.7140908890941886,0.7106594518498967,0.7098548174219094,0.7154861416630004,0.7124065112186537,0.7124995622495297,0.002090039124031334,4
2,9.051492071151733,0.3231125224020968,0.82639479637146,0.006931763101371427,saga,19000,0.1,"(1, 2)",0.0005,"{'logisticregression__solver': 'saga', 'logisticregression__max_iter': 19000, 'logisticregression__C': 0.1, 'columntransformer__tfidfvectorizer__ngram_range': (1, 2), 'columntransformer__tfidfvectorizer__min_df': 0.0005}",0.7087677620870177,0.7056002815538251,0.7058512978442587,0.7090629124505059,0.7065992080950286,0.7071762924061272,0.0014604491113843292,5
3,9.246157026290893,0.13630887233524555,0.8285155773162842,0.00945662798564888,saga,17000,0.8,"(1, 2)",0.0006000000000000001,"{'logisticregression__solver': 'saga', 'logisticregression__max_iter': 17000, 'logisticregression__C': 0.8, 'columntransformer__tfidfvectorizer__ngram_range': (1, 2), 'columntransformer__tfidfvectorizer__min_df': 0.0006000000000000001}",0.7595794289736483,0.7578197175663192,0.7614166300043995,0.7653321601407831,0.7590409150901892,0.7606377703550679,0.002617455732208458,1
4,4.910943460464478,0.18070347178744342,0.4409536361694336,0.014163673488069378,saga,12000,0.1,"(1, 1)",0.0009000000000000001,"{'logisticregression__solver': 'saga', 'logisticregression__max_iter': 12000, 'logisticregression__C': 0.1, 'columntransformer__tfidfvectorizer__ngram_range': (1, 1), 'columntransformer__tfidfvectorizer__min_df': 0.0009000000000000001}",0.728520522634288,0.7248691214640799,0.7282006159260889,0.7307963044434668,0.727628684557853,0.7280030498051554,0.0019010911688219095,3
5,5.7241518020629885,0.08532599228147959,0.6607026576995849,0.007550862797521517,saga,15000,0.9,"(3, 3)",0.0007000000000000001,"{'logisticregression__solver': 'saga', 'logisticregression__max_iter': 15000, 'logisticregression__C': 0.9, 'columntransformer__tfidfvectorizer__ngram_range': (3, 3), 'columntransformer__tfidfvectorizer__min_df': 0.0007000000000000001}",0.21028551317583916,0.20777792442039505,0.21165860096788386,0.20888693356797183,0.20567531896172458,0.20885685821876288,0.0020580579258415855,10
6,6.016085195541382,0.0796185733242567,0.6206441402435303,0.012434199538573346,saga,15000,0.8,"(3, 3)",0.0002,"{'logisticregression__solver': 'saga', 'logisticregression__max_iter': 15000, 'logisticregression__C': 0.8, 'columntransformer__tfidfvectorizer__ngram_range': (3, 3), 'columntransformer__tfidfvectorizer__min_df': 0.0002}",0.25977739650697285,0.2562139809071312,0.2605807303123625,0.2615046194456665,0.2594368675758909,0.25950271894960475,0.0017925008323747859,8
7,13.52217059135437,0.4981322605817782,1.4175687789916993,0.025169338686817786,saga,18000,0.7000000000000001,"(1, 3)",0.0008,"{'logisticregression__solver': 'saga', 'logisticregression__max_iter': 18000, 'logisticregression__C': 0.7000000000000001, 'columntransformer__tfidfvectorizer__ngram_range': (1, 3), 'columntransformer__tfidfvectorizer__min_df': 0.0008}",0.7561479917293564,0.7537283885442787,0.7550373955125385,0.7600967883853937,0.7558293004839419,0.7561679729311018,0.0021345007111063705,2
8,5.801110410690308,0.09180024376348156,0.5891490459442139,0.011133327762714132,saga,10000,0.4,"(2, 2)",0.0006000000000000001,"{'logisticregression__solver': 'saga', 'logisticregression__max_iter': 10000, 'logisticregression__C': 0.4, 'columntransformer__tfidfvectorizer__ngram_range': (2, 2), 'columntransformer__tfidfvectorizer__min_df': 0.0006000000000000001}",0.42681800184769697,0.425674189432933,0.42217333919929606,0.4183457985041795,0.41878574571051475,0.4223594149389241,0.0034577906237776347,6
9,6.074307155609131,0.10137040875697749,0.6119033336639405,0.012067047316887078,saga,19000,0.1,"(2, 2)",0.00030000000000000003,"{'logisticregression__solver': 'saga', 'logisticregression__max_iter': 19000, 'logisticregression__C': 0.1, 'columntransformer__tfidfvectorizer__ngram_range': (2, 2), 'columntransformer__tfidfvectorizer__min_df': 0.00030000000000000003}",0.38106550525713784,0.3829132022348335,0.3817861856577211,0.3765068191816982,0.37712274527056755,0.3798788915203916,0.002577598828603999,7
